Project, Loss, Chain, Vulnerability, date, transactions
BabyDogeCoin,                135000.000000,                [56],                Lack Slippage Protection,                1685239913000,                [{'txnHash': '0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375', 'txnHashDate': 1685239913000, 'chainId': 56}]
Jimbos Protocol,                8000000.000000,                [42161],                Flawed Price Dependency,                1685233492000,                [{'txnHash': '0x44a0f5650a038ab522087c02f734b80e6c748afb207995e757ed67ca037a5eda', 'txnHashDate': 1685233493000, 'chainId': 42161}, {'txnHash': '0x3c6e053faecd331883641c1d23c9d9d37d065e4f9c4086e94a3c34bf8702618a', 'txnHashDate': 1685233492000, 'chainId': 42161}, {'txnHash': '0xfda5464e97043a2d0093cbed6d0a64f6a86049f5e9608c014396a7390188670e', 'txnHashDate': 1685233492000, 'chainId': 42161}, {'txnHash': '0xf9baf8cee8973cf9700ae1b1f41c625d7a2abdbcbc222582d24a8f2f790d0b5a', 'txnHashDate': 1685233492000, 'chainId': 42161}]
GPT Token,                155000.000000,                [56],                Fee Machenism Exploitation,                1684944038000,                [{'txnHash': '0xb77cb34cd01204bdad930d8c172af12462eef58dea16199185b77147d6533391', 'txnHashDate': 1684944038000, 'chainId': 56}]
CS Token,                714000.000000,                [56],                Business Logic Flaw,                1684860210000,                [{'txnHash': '0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4', 'txnHashDate': 1684860210000, 'chainId': 56}]
SellToken,                197000.000000,                [56],                Flawed Price Dependency,                1683961936000,                [{'txnHash': '0x7d04e953dad4c880ad72b655a9f56bc5638bf4908213ee9e74360e56fa8d7c6a', 'txnHashDate': 1683961936000, 'chainId': 56}]
SNK,                197000.000000,                [56],                Reward Calculation Error,                1683679602000,                [{'txnHash': '0x7394f2520ff4e913321dd78f67dd84483e396eb7a25cbb02e06fe875fc47013a', 'txnHashDate': 1683679602000, 'chainId': 56}]
DEI,                4500000.000000,                [42161],                Business Logic Flaw,                1683309165000,                [{'txnHash': '0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef', 'txnHashDate': 1683309165000, 'chainId': 42161}]
Level Finance,                1000000.000000,                [56],                Business Logic Flaw,                1682963441000,                [{'txnHash': '0xe1f257041872c075cbe6a1212827bc346df3def6d01a07914e4006ec43027165', 'txnHashDate': 1682963441000, 'chainId': 56}]
0vix Protocol,                550000.000000,                [137],                Flawed Price Dependency,                1682678716000,                [{'txnHash': '0x10f2c28f5d6cd8d7b56210b4d5e0cece27e45a30808cd3d3443c05d4275bb008', 'txnHashDate': 1682678716000, 'chainId': 137}]
Hundred Finance,                7000000.000000,                [10],                Precision Loss,                1681567920000,                [{'txnHash': '0x6e9ebcdebbabda04fa9f2e3bc21ea8b2e4fb4bf4f4670cb8483e2f0b2604f451', 'txnHashDate': 1681567920000, 'chainId': 10}]
yearnFinance,                11000000.000000,                [1],                Misconfiguration,                1681365167000,                [{'txnHash': '0x8db0ef33024c47200d47d8e97b0fcfc4b51de1820dfb4e911f0e3fb0a4053138', 'txnHashDate': 1681365167000, 'chainId': 1}, {'txnHash': '0xd55e43c1602b28d4fd4667ee445d570c8f298f5401cf04e62ec329759ecda95d', 'txnHashDate': 1681365155000, 'chainId': 1}]
MetaPoint,                820000.000000,                [56],                Access Control Issue,                1681242593000,                [{'txnHash': '0xccd12f22629b2c42d2b680362dadbd1b3d89cb4a87a8c9b297766b4974c6ad34', 'txnHashDate': 1681242593000, 'chainId': 56}]
Paribus,                100000.000000,                [42161],                Reentrancy,                1681208132000,                [{'txnHash': '0x0e29dcf4e9b211a811caf00fc8294024867bffe4ab2819cc1625d2e9d62390af', 'txnHashDate': 1681208132000, 'chainId': 42161}]
SushiSwap,                3300000.000000,                [1],                Untrusted Input,                1681007927000,                [{'txnHash': '0x11d069cbe4490cc483b1ae2e77c9c79493213347b42a8dec2ded25724e2f1835', 'txnHashDate': 1681007927000, 'chainId': 1}, {'txnHash': '0x04b166e7b4ab5105a8e9c85f08f6346de1c66368687215b0e0b58d6e5002bc32', 'txnHashDate': 1681007759000, 'chainId': 1}, {'txnHash': '0x40be81f859227aa952e70fe1f5e8c84feed6aa3c2a4d6bf38125cd6bc222560a', 'txnHashDate': 1681007759000, 'chainId': 1}, {'txnHash': '0xbb9aac794415b2fbe2c947fe37ebb29c75526c150d33dd408ccddbcb52534828', 'txnHashDate': 1681007735000, 'chainId': 1}, {'txnHash': '0x6ac2d60c8f48144f2adb10ab161efdd491a791c6a666c450d4b33c6889fc0925', 'txnHashDate': 1681007735000, 'chainId': 1}, {'txnHash': '0xea3480f1f1d1f0b32283f8f282ce16403fe22ede35c0b71a732193e56c5c45e8', 'txnHashDate': 1681007723000, 'chainId': 1}, {'txnHash': '0x8e28bc58897f35e71b727f3066ae57b4d597014db6778bbf70838347c112e0e1', 'txnHashDate': 1681007723000, 'chainId': 1}, {'txnHash': '0x542838429f32b49d71264cc1036bb7cfd66824613ba0c437f7ce4269edb58f74', 'txnHashDate': 1681007723000, 'chainId': 1}, {'txnHash': '0x3610d3e3f2381c73f4bd128df9be90de87482802f30712dd555619b8bf3462a4', 'txnHashDate': 1681007723000, 'chainId': 1}, {'txnHash': '0x43ff7e01423044cfb501b4fe9ef1386725c0ddc117dadd6e6620cb68bdeaf4f9', 'txnHashDate': 1681007723000, 'chainId': 1}]
Sentiment,                1000000.000000,                [42161],                Flawed Price Dependency,                1680630629000,                [{'txnHash': '0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d', 'txnHashDate': 1680630629000, 'chainId': 42161}]
Low-Carb-Crusader,                25000000.000000,                [1],                Business Logic Flaw,                1680478175000,                [{'txnHash': '0xef7f6864a93f8d10dd8fafbe75b041db8c282159fe43632c26a29f176894678e', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0x8222caee8d1e1188f7a99af8315486a828aaf3432b6528a8e45b9f1bb73653e3', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0x787980ae064cba2430213ffe14bff6fd71193983055725dcf185341bab68811e', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0x454c858e7f7b11706335225c72b1eaee13a215e8657a4ae699669d6f1cd18550', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0x2bb955b94aa5e2cc0854e23b58268d89aab93e17cb8b11c61996d875f1cc64f9', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0x6957ccca95ad6a7f2d698a2362f4881591ff18f18cbc5edb149ce490521639a6', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0xa34d79cbe9aef1bf07692885b353d85912523dfc4662611d33dd09ff6c319c85', 'txnHashDate': 1680478175000, 'chainId': 1}, {'txnHash': '0x4b2a2d03b3dc136ef94ebe2f3bc36231b104172bcb598104730898f7d81a55db', 'txnHashDate': 1680478175000, 'chainId': 1}]
Allbridge,                550000.000000,                [56],                Flawed Price Dependency,                1680386222000,                [{'txnHash': '0x7ff1364c3b3b296b411965339ed956da5d17058f3164425ce800d64f1aef8210', 'txnHashDate': 1680386222000, 'chainId': 56}]
SafeMoon,                8900000.000000,                [56],                Access Control Issue,                1680031587000,                [{'txnHash': '0x48e52a12cb297354a2a1c54cbc897cf3772328e7e71f51c9889bb8c5e533a934', 'txnHashDate': 1680031587000, 'chainId': 56}]
